Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM,Year
1,Gonzaga,37.35,126.4,89.1,74.3,0.018000000000000002,8.73,106.3,97.6,6.03,2021
2,Baylor,29.74,122.8,93.1,68.5,0.047,9.87,106.4,96.5,-3.09,2021
3,Michigan,29.29,118.6,89.3,66.9,0.028999999999999998,15.72,111.0,95.3,2.54,2021
4,Houston,29.27,119.1,89.9,64.7,-0.0,7.48,104.1,96.6,2.19,2021
5,Illinois,28.91,117.7,88.8,70.5,0.022000000000000002,18.06,112.0,94.0,10.17,2021
6,USC,26.96,115.0,88.0,67.1,-0.008,14.7,109.8,95.1,6.21,2021
7,Iowa,26.79,123.3,96.5,69.9,-0.027000000000000003,16.33,110.1,93.8,-5.12,2021
8,Alabama,25.59,112.9,87.3,73.3,0.027000000000000003,14.44,109.6,95.1,9.53,2021
9,Loyola Chicago,25.55,111.7,86.1,63.8,-0.015,6.14,105.3,99.1,4.97,2021
10,Colorado,24.44,115.8,91.4,66.2,-0.025,14.76,109.7,95.0,3.39,2021
11,Villanova,23.54,119.8,96.3,64.6,-0.004,13.03,108.6,95.5,8.04,2021
12,Ohio St.,23.42,120.3,96.9,66.8,-0.012,17.74,111.4,93.7,3.42,2021
13,Florida St.,23.27,115.6,92.3,70.0,-0.008,13.07,109.1,96.0,4.37,2021
14,Wisconsin,22.25,112.6,90.4,64.6,-0.052000000000000005,18.03,111.9,93.8,1.45,2021
15,Arkansas,22.07,111.4,89.4,72.9,0.067,12.12,108.6,96.5,-4.29,2021
16,Virginia,21.91,114.6,92.7,59.9,0.025,12.51,109.9,97.4,0.34,2021
17,Oregon,21.79,116.7,94.9,67.3,0.047,13.95,109.8,95.9,3.68,2021
18,BYU,21.1,113.4,92.3,67.6,0.037000000000000005,12.25,108.9,96.7,9.98,2021
19,Texas Tech,21.07,112.1,91.0,65.1,-0.099,12.2,108.0,95.8,-4.98,2021
20,Creighton,21.03,113.6,92.6,68.8,0.016,12.63,108.1,95.5,-0.97,2021
21,Connecticut,20.8,113.0,92.2,65.6,-0.068,13.18,108.1,94.9,-1.36,2021
22,UCLA ,20.45,116.1,95.7,64.1,0.03,15.24,109.8,94.6,9.87,2021
23,LSU,20.4,119.9,99.5,70.7,-0.006999999999999999,14.8,108.5,93.7,1.16,2021
24,Purdue,20.32,113.0,92.7,66.2,0.01,16.6,111.0,94.4,6.01,2021
25,San Diego St.,20.1,110.8,90.7,65.6,0.027000000000000003,7.46,106.4,98.9,13.23,2021
26,West Virginia,19.98,116.3,96.3,69.2,-0.055999999999999994,14.69,109.2,94.5,13.91,2021
27,Tennessee,19.83,107.8,88.0,67.2,-0.013000000000000001,12.98,108.6,95.6,-0.46,2021
28,Texas,19.63,112.5,92.9,68.7,-0.004,13.9,108.7,94.8,8.29,2021
29,Kansas,19.23,109.5,90.3,68.2,0.07,15.16,110.1,95.0,10.48,2021
30,Arizona,19.18,115.0,95.8,67.8,-0.017,12.68,108.8,96.1,-4.13,2021
31,St. Bonaventure,19.06,109.8,90.7,64.9,0.016,8.55,106.4,97.8,2.54,2021
32,North Carolina,19.01,110.1,91.1,71.6,-0.005,15.18,111.0,95.8,8.12,2021
33,Georgia Tech,18.0,113.7,95.7,67.4,-0.005,13.17,108.8,95.6,-0.92,2021
34,Oklahoma St.,18.0,108.9,90.9,72.3,0.038,14.75,110.6,95.8,5.65,2021
35,Duke,17.96,114.5,96.5,68.6,-0.109,12.67,109.1,96.5,5.56,2021
36,Maryland ,17.59,111.4,93.8,64.8,-0.024,17.06,110.1,93.0,-0.99,2021
37,Syracuse ,17.59,114.8,97.2,68.7,0.03,12.67,109.1,96.4,2.21,2021
38,Rutgers ,17.46,107.8,90.3,67.5,0.027000000000000003,17.98,112.3,94.3,-5.51,2021
39,Memphis,17.37,104.0,86.6,71.5,-0.085,7.76,105.2,97.4,1.53,2021
40,Penn St.,16.97,111.9,95.0,69.2,-0.05,19.32,111.9,92.6,11.7,2021
41,Florida,16.93,110.8,93.9,68.3,-0.004,14.69,109.7,95.0,9.09,2021
42,Oklahoma,16.42,111.6,95.2,67.2,-0.025,13.65,109.0,95.3,1.8,2021
43,Clemson,15.91,106.3,90.4,64.1,0.1,14.81,109.7,94.9,11.5,2021
44,Utah St. ,15.67,104.8,89.1,68.7,-0.037000000000000005,5.97,105.3,99.3,8.16,2021
45,Missouri,15.06,110.4,95.3,68.4,0.07,15.78,110.0,94.2,11.11,2021
46,Utah,15.02,112.2,97.1,67.7,-0.077,14.9,109.9,95.0,-5.63,2021
47,VCU ,14.99,105.0,90.0,69.7,0.035,8.52,106.3,97.8,5.52,2021
48,Kentucky,14.98,107.9,92.9,68.2,-0.14800000000000002,16.9,110.6,93.7,15.45,2021
49,Oregon St. ,14.96,111.1,96.2,65.6,0.078,15.24,110.4,95.1,-4.62,2021
50,Indiana,14.88,108.8,94.0,66.0,-0.053,18.26,111.2,93.0,9.17,2021
51,Virginia Tech ,14.78,109.6,94.8,65.8,0.043,10.02,107.9,97.9,0.7,2021
52,Mississippi,14.64,106.0,91.3,65.0,-0.063,10.69,107.6,96.9,-6.85,2021
53,Drake ,14.6,112.4,97.8,66.4,0.102,4.24,104.0,99.8,-8.46,2021
54,Seton Hall,14.58,110.1,95.6,66.5,-0.027000000000000003,14.64,109.7,95.0,11.93,2021
55,Saint Louis,14.37,110.2,95.8,68.0,-0.037000000000000005,5.59,104.5,98.9,-1.33,2021
56,Louisville,13.91,107.7,93.8,65.8,0.11800000000000001,13.69,109.8,96.2,7.9,2021
57,SMU,13.84,110.5,96.6,68.8,-0.012,8.42,104.7,96.3,-8.46,2021
58,UC Santa Barbara ,13.58,109.6,96.0,65.7,0.03,1.72,102.5,100.8,4.0,2021
59,Boise St.,13.38,109.8,96.4,69.2,-0.008,5.7,105.2,99.5,15.53,2021
60,Stanford,13.17,105.5,92.3,69.3,0.022000000000000002,15.84,110.6,94.8,9.84,2021
61,Georgetown ,13.12,107.7,94.6,69.7,0.008,15.18,110.6,95.4,4.69,2021
62,Auburn,13.04,111.3,98.3,71.0,-0.044000000000000004,14.4,109.0,94.6,6.0,2021
63,Richmond,12.96,110.5,97.5,68.5,-0.039,9.02,106.9,97.9,11.02,2021
64,Minnesota,12.89,108.1,95.2,70.0,0.011000000000000001,16.95,111.2,94.3,0.17,2021
65,Xavier,12.88,110.5,97.6,68.0,0.003,10.43,107.8,97.3,2.03,2021
66,Colorado St.,12.83,108.0,95.2,69.0,0.05,4.05,103.8,99.7,2.77,2021
67,Michigan St. ,12.77,106.8,94.0,68.4,0.09,17.59,112.3,94.7,-0.87,2021
68,N.C. State,12.77,110.1,97.4,67.8,0.006999999999999999,11.23,109.2,98.0,-6.09,2021
69,St. John's,12.48,111.0,98.6,73.4,0.013999999999999999,11.26,107.6,96.3,-2.86,2021
70,Davidson,12.18,113.7,101.5,62.6,-0.07400000000000001,6.97,104.5,97.5,1.23,2021
71,North Texas ,12.07,106.7,94.7,62.8,-0.018000000000000002,6.67,104.8,98.2,6.07,2021
72,Wichita St. ,12.04,109.1,97.0,67.1,0.08900000000000001,10.17,106.2,96.0,13.2,2021
73,Toledo,11.84,114.1,102.3,68.7,-0.024,3.16,104.7,101.5,6.04,2021
74,Wright St.,11.82,108.2,96.3,71.2,-0.078,-3.27,102.5,105.8,5.57,2021
75,Saint Mary's,11.81,101.8,90.0,62.9,0.037000000000000005,10.9,108.6,97.7,2.92,2021
76,Mississippi St.,11.56,106.3,94.8,65.8,-0.019,11.86,107.3,95.4,-1.59,2021
77,Buffalo,11.51,107.3,95.8,73.2,-0.098,3.46,105.5,102.0,2.62,2021
78,Louisiana Tech,11.41,103.6,92.2,69.4,0.025,2.0,102.5,100.5,-8.64,2021
79,Northwestern,10.89,104.1,93.2,68.5,-0.091,19.1,112.6,93.5,-18.32,2021
80,Providence,10.89,107.1,96.2,66.4,0.001,13.69,109.3,95.6,6.92,2021
81,Ohio ,10.63,111.3,100.6,69.3,0.031,5.39,106.0,100.6,1.31,2021
82,Marquette,10.53,107.3,96.8,67.5,-0.006999999999999999,14.23,109.6,95.4,7.22,2021
83,Notre Dame,10.43,113.7,103.3,67.3,-0.028999999999999998,14.69,110.7,96.0,13.79,2021
84,Washington St.,10.39,101.9,91.5,67.6,-0.01,11.33,108.3,97.0,-8.75,2021
85,Abilene Christian ,9.87,101.3,91.4,69.3,0.009000000000000001,-5.58,99.1,104.7,4.88,2021
86,Missouri St.,9.77,107.8,98.0,69.2,0.039,4.26,104.0,99.7,-12.08,2021
87,Dayton,9.58,108.1,98.5,65.6,0.006,8.35,104.8,96.5,4.08,2021
88,Colgate ,9.31,110.1,100.8,72.3,0.048,-5.77,99.4,105.2,-99.0,2021
89,Nevada,9.23,108.7,99.4,69.9,-0.012,6.49,104.7,98.2,7.28,2021
90,Arizona St.,9.2,107.8,98.6,72.6,0.026000000000000002,15.4,110.4,95.0,9.28,2021
91,Marshall,9.2,109.3,100.1,72.7,-0.068,1.73,102.7,101.0,0.67,2021
92,Western Kentucky,9.17,106.5,97.3,67.6,0.096,4.18,103.4,99.2,10.28,2021
93,Pittsburgh,9.1,108.0,98.9,68.4,-0.068,11.05,108.4,97.4,-4.69,2021
94,Pepperdine,9.0,108.1,99.1,71.5,0.002,9.44,106.9,97.4,9.32,2021
95,San Francisco,8.91,106.7,97.8,67.8,-0.10400000000000001,8.22,106.5,98.3,5.82,2021
96,Loyola Marymount,8.82,107.6,98.8,66.1,0.033,8.4,105.4,97.0,6.67,2021
97,Furman,8.76,109.6,100.9,67.7,-0.086,2.65,104.1,101.5,2.76,2021
98,UAB,8.71,103.4,94.7,67.1,0.005,-1.36,99.9,101.3,-12.1,2021
99,Georgia,8.68,107.7,99.1,73.3,0.048,12.33,107.7,95.3,-6.08,2021
100,Winthrop ,8.64,104.8,96.2,73.2,0.036000000000000004,-5.49,99.5,105.0,4.25,2021
101,Liberty ,8.52,109.5,101.0,63.2,-0.023,-4.86,99.2,104.0,1.32,2021
102,Vanderbilt,8.21,108.7,100.5,68.7,-0.128,12.64,107.6,95.0,-3.02,2021
103,UCF,8.21,106.0,97.8,67.3,0.053,12.41,106.7,94.3,24.99,2021
104,Grand Canyon ,8.17,105.1,96.9,65.0,-0.061,-1.59,101.7,103.3,2.37,2021
105,Eastern Washington ,7.95,109.1,101.2,72.3,-0.085,-0.65,101.7,102.3,20.91,2021
106,UNC Greensboro ,7.93,103.5,95.6,68.1,0.003,1.58,103.6,102.1,-2.71,2021
107,UC Riverside,7.89,103.4,95.5,66.8,-0.066,0.7,102.4,101.7,0.56,2021
108,UC Irvine,7.79,101.0,93.2,67.4,0.031,3.05,103.3,100.3,6.63,2021
109,Nebraska,7.7,101.6,93.9,71.9,-0.128,18.25,112.2,93.9,5.64,2021
110,Belmont,7.53,109.3,101.7,70.8,0.05,-5.75,98.7,104.5,-5.78,2021
111,Akron,7.28,108.5,101.2,68.6,-0.001,4.39,105.6,101.2,20.92,2021
112,Rhode Island,7.23,104.5,97.3,69.1,-0.109,9.41,106.4,97.0,11.4,2021
113,Kent St.,6.49,105.7,99.2,69.8,0.023,4.08,106.3,102.3,8.2,2021
