Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM,Year
1,Gonzaga,32.05,118.4,86.3,70.1,0.02,2.99,106.2,103.3,1.01,2017
2,Villanova,29.88,122.4,92.5,64.1,0.01,9.33,109.8,100.5,3.55,2017
3,North Carolina,28.22,120.7,92.5,71.3,0.037000000000000005,12.49,112.0,99.5,3.87,2017
4,Kentucky,27.72,119.1,91.4,72.0,0.006,10.98,110.5,99.5,3.74,2017
5,Florida,27.5,116.9,89.5,69.0,-0.040999999999999995,12.46,110.3,97.8,8.19,2017
6,Kansas,27.45,121.9,94.5,70.2,0.067,12.43,111.2,98.8,2.39,2017
7,West Virginia,27.17,116.5,89.4,69.9,-0.043,10.84,110.1,99.2,-7.97,2017
8,Wichita St. ,26.14,118.7,92.6,68.0,-0.021,1.5,105.0,103.5,-0.32,2017
9,Louisville,25.51,117.2,91.7,67.9,-0.023,11.14,111.6,100.5,4.2,2017
10,Oregon,25.02,118.2,93.2,67.0,0.034,8.05,109.2,101.2,0.51,2017
11,SMU,24.73,119.8,95.0,63.5,0.003,3.25,105.3,102.1,-0.92,2017
12,Virginia,24.29,112.2,88.0,59.2,-0.03,11.68,111.5,99.8,2.29,2017
13,Baylor,24.23,117.1,92.9,63.7,0.023,13.08,111.7,98.6,1.67,2017
14,Duke,24.17,121.0,96.8,68.3,0.013999999999999999,11.43,111.0,99.6,0.03,2017
15,Saint Mary's,23.67,118.7,95.0,60.2,0.03,0.41,104.3,103.9,-4.13,2017
16,UCLA,23.63,124.0,100.4,72.6,0.021,5.17,108.0,102.8,-4.66,2017
17,Iowa St.,23.45,119.7,96.3,68.4,-0.019,14.05,112.6,98.6,-0.74,2017
18,Arizona,23.31,118.4,95.1,66.0,0.046,7.13,108.7,101.5,1.69,2017
19,Purdue,23.12,117.0,93.9,69.1,0.016,9.0,109.6,100.6,-2.38,2017
20,Michigan,23.05,122.3,99.2,63.1,-0.025,10.76,110.3,99.5,-0.53,2017
21,Wisconsin,22.99,115.1,92.1,63.4,-0.003,10.0,110.6,100.6,-1.29,2017
22,Oklahoma St. ,22.48,126.0,103.5,70.4,-0.071,14.42,112.0,97.6,3.07,2017
23,Cincinnati,22.18,114.9,92.8,63.5,0.026000000000000002,4.17,107.1,103.0,-0.47,2017
24,South Carolina,20.8,108.9,88.1,68.6,-0.005,10.63,110.2,99.5,1.93,2017
25,Butler,20.76,117.7,97.0,65.9,0.002,10.81,110.8,100.0,5.12,2017
26,Florida St.,20.06,115.5,95.5,71.3,0.039,8.82,110.6,101.8,-3.95,2017
27,Notre Dame,19.74,118.1,98.4,67.0,0.024,10.24,110.1,99.8,-3.85,2017
28,Creighton,18.83,115.3,96.5,71.2,0.004,8.97,110.3,101.3,-1.24,2017
29,TCU,17.51,114.5,97.0,67.1,-0.008,11.28,110.6,99.3,-3.16,2017
30,Kansas St. ,17.44,113.0,95.6,66.2,-0.028999999999999998,11.56,110.6,99.0,-5.31,2017
31,Xavier ,16.7,115.7,99.0,67.2,0.044000000000000004,11.73,111.2,99.5,5.32,2017
32,Marquette ,16.58,120.8,104.2,70.1,-0.057999999999999996,9.03,109.1,100.1,-2.16,2017
33,Vanderbilt,16.53,112.4,95.9,65.8,-0.048,11.43,110.1,98.7,6.3,2017
34,Rhode Island ,16.26,111.5,95.2,66.4,-0.033,4.27,106.8,102.5,1.62,2017
35,Arkansas,16.25,116.1,99.8,69.7,0.086,8.37,108.6,100.2,-1.55,2017
36,Wake Forest ,16.25,120.9,104.7,70.7,-0.043,10.54,111.1,100.6,4.51,2017
37,Minnesota,16.0,109.7,93.7,69.5,0.022000000000000002,8.09,108.9,100.8,-1.81,2017
38,Northwestern,15.81,111.3,95.5,65.6,0.019,8.32,109.0,100.7,-3.23,2017
39,Dayton,15.57,111.9,96.3,68.4,-0.021,3.64,105.9,102.3,2.53,2017
40,Michigan St.,15.51,111.4,95.9,66.9,-0.011000000000000001,10.99,110.6,99.6,4.01,2017
41,Texas Tech,15.11,112.6,97.5,63.8,-0.08199999999999999,7.89,109.5,101.6,-11.69,2017
42,Miami FL,15.03,109.9,94.9,63.0,0.031,9.39,110.7,101.3,-4.48,2017
43,Middle Tennessee ,14.95,112.2,97.2,64.6,0.011000000000000001,-0.93,104.4,105.3,3.86,2017
44,Indiana,14.49,116.1,101.6,68.4,-0.09,9.11,109.6,100.5,-5.48,2017
45,Clemson,14.46,114.9,100.5,66.4,-0.064,10.32,110.8,100.5,2.12,2017
