Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM,Year
1,Kansas 1*,30.23,115.8,85.5,67.3,0.04,12.66,107.4,94.7,9.58,2020
2,Gonzaga 1*,26.95,121.3,94.4,71.9,0.05,2.42,103.5,101.0,-2.09,2020
3,Baylor 1*,25.49,113.5,88.1,66.2,0.016,10.2,106.4,96.2,1.38,2020
4,Dayton 1*,24.93,119.1,94.1,67.6,0.002,2.74,104.1,101.3,-0.74,2020
5,Duke 3*,24.62,115.7,91.1,72.0,-0.009000000000000001,7.28,106.0,98.7,2.6,2020
6,San Diego St. 2*,24.48,115.1,90.6,64.6,-0.008,2.98,105.3,102.3,-1.8,2020
7,Michigan St. 3*,24.03,115.2,91.2,69.1,-0.012,12.04,108.6,96.5,1.83,2020
8,Ohio St. 5*,22.23,114.3,92.0,66.2,-0.038,11.1,108.0,96.9,-1.31,2020
9,Louisville 4*,21.36,114.5,93.1,67.1,-0.003,7.1,105.3,98.2,-1.09,2020
10,West Virginia 6*,21.26,108.3,87.1,69.4,-0.027999999999999997,11.28,107.2,95.9,5.8,2020
11,Maryland 3*,21.12,113.5,92.4,67.0,0.037000000000000005,11.35,107.9,96.6,-0.44,2020
12,Creighton 2*,20.93,118.2,97.3,68.3,0.07200000000000001,10.72,107.9,97.2,2.69,2020
13,BYU 5*,20.68,116.3,95.6,69.5,-0.027999999999999997,6.06,106.0,100.0,7.4,2020
14,Houston 7*,20.39,112.7,92.3,65.7,-0.052000000000000005,6.33,104.2,97.9,2.56,2020
15,Florida St. 2*,20.22,111.7,91.5,69.9,0.065,7.96,106.3,98.4,1.22,2020
16,Michigan 6*,20.12,113.2,93.0,68.7,-0.048,12.79,110.2,97.4,2.0,2020
17,Oregon 4*,20.0,117.1,97.1,65.0,0.023,8.15,105.6,97.4,4.11,2020
18,Villanova 2*,19.98,113.9,94.0,66.2,0.08199999999999999,10.88,108.2,97.3,4.22,2020
19,Arizona 7*,19.6,111.0,91.4,69.3,-0.077,7.72,106.5,98.8,2.41,2020
20,Seton Hall 3*,19.54,112.3,92.7,69.8,0.006,11.48,108.4,96.9,4.86,2020
21,Texas Tech 10*,19.28,109.8,90.5,67.3,-0.113,8.74,106.0,97.3,-3.87,2020
22,Wisconsin 4*,18.95,110.8,91.9,63.7,0.031,11.74,108.7,96.9,1.61,2020
23,Iowa 6*,18.65,117.3,98.6,70.2,0.005,12.28,108.6,96.3,2.4,2020
24,Purdue,18.57,109.3,90.8,64.6,-0.10400000000000001,12.19,108.4,96.3,2.78,2020
25,Butler 5*,18.39,112.6,94.2,63.7,0.032,10.22,107.6,97.4,1.07,2020
