Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM,Year
1,Virginia,34.22,123.4,89.2,59.4,0.05,11.18,109.2,98.1,-3.24,2019
2,Gonzaga,32.85,124.5,91.6,70.2,-0.001,4.46,106.9,102.5,1.87,2019
3,Michigan St.,30.81,121.0,90.2,66.9,0.001,13.67,110.6,96.9,3.24,2019
4,Duke,30.62,120.0,89.3,72.1,0.018000000000000002,12.85,110.7,97.8,5.08,2019
5,Texas Tech,30.03,114.1,84.1,66.6,0.004,11.18,109.8,98.7,-5.39,2019
6,Michigan,28.32,114.5,86.2,64.8,-0.001,11.27,109.2,98.0,-5.42,2019
7,North Carolina,27.69,119.7,92.0,74.3,0.024,12.6,110.7,98.1,5.69,2019
8,Kentucky,27.57,117.6,90.1,65.6,0.033,11.32,110.7,99.4,1.75,2019
9,Purdue,26.81,122.5,95.6,65.9,-0.015,13.16,110.3,97.1,4.09,2019
10,Tennessee,26.24,122.7,96.5,67.8,0.034,10.69,109.7,99.0,0.92,2019
11,Auburn,25.0,120.9,95.9,67.9,0.008,12.23,110.7,98.5,2.63,2019
12,Houston,24.13,115.3,91.2,66.1,0.039,4.45,105.7,101.3,-4.16,2019
13,Virginia Tech,24.07,118.1,94.0,63.7,-0.005,8.47,108.3,99.9,-6.26,2019
14,Florida St.,22.39,112.8,90.4,68.6,0.046,10.46,109.8,99.3,0.93,2019
15,Iowa St.,22.09,118.9,96.8,67.7,-0.063,10.78,109.3,98.5,-1.56,2019
16,Wisconsin,21.94,110.4,88.5,63.9,-0.018000000000000002,12.97,110.3,97.3,3.14,2019
17,Kansas,21.57,113.9,92.3,70.1,0.076,14.13,111.8,97.7,10.36,2019
18,Wofford,20.69,118.1,97.4,65.7,0.046,1.82,106.0,104.2,8.37,2019
19,LSU,20.22,117.7,97.5,70.0,0.063,10.02,109.3,99.3,2.77,2019
20,Kansas St.,20.06,108.4,88.4,63.4,0.049,10.22,109.3,99.1,-0.96,2019
21,Mississippi St.,20.04,117.7,97.6,67.8,-0.038,10.09,110.1,100.0,2.22,2019
22,Buffalo,19.85,115.2,95.4,73.6,0.055999999999999994,3.14,105.5,102.4,1.15,2019
23,Louisville,19.35,113.7,94.4,67.2,-0.06,11.95,110.4,98.4,5.36,2019
24,Maryland,19.29,113.4,94.1,66.0,-0.004,10.75,109.8,99.1,-4.92,2019
25,Texas,19.11,113.5,94.4,64.7,-0.08,11.96,110.3,98.3,4.98,2019
26,Florida ,18.3,110.5,92.2,62.9,-0.063,12.0,110.7,98.7,5.12,2019
27,Nevada,18.18,114.0,95.9,69.3,0.033,1.42,105.4,103.9,1.79,2019
28,Oregon ,17.86,109.5,91.7,64.2,-0.048,5.47,107.7,102.3,0.43,2019
29,Cincinnati,17.5,112.3,94.8,63.4,0.05,5.12,107.1,102.0,-2.85,2019
30,Villanova,17.33,116.5,99.2,63.6,0.044000000000000004,8.0,108.8,100.8,3.32,2019
31,Saint Mary's ,17.31,114.7,97.4,62.7,-0.045,3.66,106.6,103.0,-0.9,2019
32,Oklahoma,16.94,111.1,94.1,68.6,0.023,13.27,110.3,97.1,7.44,2019
33,Marquette,16.52,113.2,96.7,68.8,0.01,6.77,107.4,100.7,0.29,2019
34,UCF,16.51,112.1,95.6,65.0,0.011000000000000001,4.99,105.9,100.9,-3.71,2019
35,Baylor,16.48,115.3,98.8,65.2,-0.028999999999999998,10.49,108.8,98.3,-4.04,2019
36,Clemson,16.14,108.0,91.8,66.2,-0.066,8.49,108.2,99.7,0.82,2019
37,Iowa ,16.02,117.4,101.3,69.5,0.05,10.64,108.9,98.3,-6.49,2019
38,Utah St.,15.41,112.6,97.2,68.1,0.012,0.02,104.5,104.4,0.81,2019
39,Syracuse,15.13,110.5,95.3,66.1,-0.004,9.4,108.6,99.2,0.17,2019
40,TCU,15.04,110.3,95.2,68.9,0.02,9.66,109.1,99.5,-0.99,2019
41,N.C. State,14.98,113.1,98.1,71.0,-0.004,5.84,106.8,101.0,-12.35,2019
42,VCU,14.89,104.3,89.5,68.4,0.006999999999999999,1.37,105.2,103.8,3.6,2019
43,Penn St.,14.89,109.4,94.5,67.6,-0.102,12.43,110.2,97.7,4.05,2019
44,Ohio St. ,14.66,109.1,94.4,65.8,0.013000000000000001,11.68,110.4,98.8,-2.95,2019
45,Lipscomb,14.55,111.7,97.2,73.3,-0.013000000000000001,0.08,103.9,103.8,6.56,2019
46,Minnesota ,14.35,111.4,97.0,67.4,0.086,12.18,110.2,98.0,-2.91,2019
47,Nebraska,14.35,113.5,99.1,66.4,-0.046,12.55,109.7,97.2,-0.17,2019
48,Washington,14.28,107.7,93.5,66.0,0.08800000000000001,6.06,107.6,101.5,2.73,2019
49,Belmont ,14.09,115.6,101.5,71.3,0.025,-1.98,103.6,105.6,3.78,2019
50,Mississippi,13.98,113.2,99.2,68.5,-0.006999999999999999,8.69,109.1,100.4,-1.11,2019
51,Murray St. ,13.83,112.5,98.6,69.4,0.054000000000000006,-3.32,103.1,106.4,-1.13,2019
52,Indiana,13.73,109.1,95.4,66.9,-0.034,10.62,109.4,98.8,-1.57,2019
53,New Mexico St. ,13.62,113.0,99.3,65.9,0.042,-3.44,102.8,106.2,-3.22,2019
54,Arkansas,12.92,110.1,97.2,70.4,-0.048,8.48,108.2,99.7,0.09,2019
55,Creighton,12.67,112.0,99.3,68.7,-0.034,8.07,109.0,100.9,5.14,2019
56,Memphis,11.78,109.2,97.4,74.2,-0.032,4.41,106.0,101.6,0.01,2019
57,Arizona St. ,11.55,109.7,98.2,70.8,0.051,5.56,107.3,101.7,1.55,2019
58,Liberty ,11.54,111.1,99.6,62.3,0.009000000000000001,-3.27,102.5,105.8,-3.2,2019
59,Furman,11.52,108.9,97.4,66.6,0.016,-1.18,105.2,106.4,-2.58,2019
60,Seton Hall ,11.5,109.0,97.5,69.1,0.023,8.54,109.2,100.7,3.58,2019
